Sample,Group,ANID,Fe,Th,Rb,Sr,Y,Zr,Nb,Northing,Easting,Elevation
Alca-1,Alca,KRA-001,5453,13,132,72,17,99,12,8325947,741049,3150
Alca-1,Alca,KRA-002,5365,13,132,74,15,103,11,8326797,740828,3050
Alca-1,Alca,KRA-006,5503,13,135,74,14,108,13,8327982,744167,4419
Alca-1,Alca,KRA-014,5675,14,138,74,15,101,12,8325622,746169,4146
Alca-1,Alca,KRA-017,5514,13,140,75,14,98,12,8327309,747901,4830
Alca-1,Alca,KRA-020,5515,12,134,74,16,102,12,8327444,747676,4811
Alca-1,Alca,KRA-022,5583,11,135,72,14,98,12,8327617,747569,4808
Alca-1,Alca,KRA-024,5557,14,135,76,15,100,13,8327685,745507,4673
Alca-1,Alca,KRA-025,5626,11,138,75,14,98,12,8327330,746049,4674
Alca-1,Alca,KRA-026,5428,12,134,73,16,94,13,8327071,746168,4642
Alca-1,Alca,KRA-028,5649,13,137,74,15,101,12,8326724,746214,4749
Alca-1,Alca,KRA-029,5434,12,136,73,15,102,13,8326724,746214,4749
Alca-1,Alca,KRA-030,5623,13,136,74,14,102,14,8326885,748248,4756
Alca-1,Alca,KRA-032,5502,12,136,76,15,107,11,8327005,748138,4781
Alca-1,Alca,KRA-039,5215,11,132,71,14,112,12,8327096,747750,4772
Alca-1,Alca,KRA-043,5631,12,135,74,14,100,13,8327095,747610,4757
Alca-1,Alca,KRA-044,5911,16,141,75,13,106,14,8327097,747578,4786
Alca-1,Alca,KRA-048,5601,13,140,73,13,98,12,8327375,747536,4773
Alca-1,Alca,KRA-049,5523,14,137,72,14,98,12,8327434,747616,4778
Alca-1,Alca,KRA-051,5381,14,136,72,14,108,12,8327115,747306,4722
Alca-1,Alca,KRA-056,5701,11,136,73,16,104,13,8326653,746339,4761
Alca-1,Alca,KRA-061,5298,12,135,72,15,97,12,8326485,746729,4799
Alca-1,Alca,KRA-063,5532,14,136,72,16,97,12,8326461,747018,4791
Alca-1,Alca,KRA-065,5473,14,139,74,15,102,12,8326481,747303,4817
Alca-1,Alca,KRA-066,5691,14,137,74,15,101,12,8326755,747976,4791
Alca-1,Alca,KRA-067,5304,10,131,71,14,98,11,8326781,747846,4786
Alca-1,Alca,KRA-070,5382,14,135,75,15,98,11,8326756,747577,4782
Alca-1,Alca,KRA-079,4972,12,129,69,12,97,9,8326906,748626,4763
Alca-1,Alca,KRA-083,5177,12,131,72,16,101,9,8326813,749084,4697
Alca-1,Alca,KRA-085,5627,12,140,76,15,101,14,8325716,747831,4394
Alca-1,Alca,KRA-089,5152,12,131,72,13,95,11,8325536,746278,4109
Alca-1,Alca,KRA-090,5490,12,136,74,14,106,12,8325296,745677,4009
Alca-1,Alca,KRA-093,5340,13,133,75,14,102,10,8323426,740899,3318
Alca-1,Alca,KRA-095,5645,13,138,76,14,99,13,no data,no data,no data
Alca-1,Alca,KRA-096,5129,10,134,71,14,95,8,no data,no data,no data
Alca-1,Alca,KRA-113,5699,12,130,74,14,98,11,8324296,740642,2889
Alca-1,Alca,KRA-114,5134,10,135,72,13,97,8,8325762,739902,2720
Alca-1,Alca,KRA-115,5405,14,133,74,15,100,11,8325762,739902,2720
Alca-1,Alca,KRA-116,5102,11,132,72,15,100,9,8325762,739902,2720
Alca-1,Alca,KRA-117,5445,11,134,76,13,100,10,8325762,739902,2720
Alca-1,Alca,KRA-118,5684,13,133,71,13,98,13,8325762,739902,2720
Alca-1,Alca,KRA-119,5413,13,135,72,15,100,10,8325230,739956,2737
Alca-1,Alca,KRA-120,5526,13,134,72,14,101,10,8325230,739956,2737
Alca-1,Alca,KRA-121,5414,12,134,73,13,96,11,8325230,739956,2737
Alca-1,Alca,KRA-122,5492,13,136,76,15,104,10,8325230,739956,2737
Alca-1,Alca,KRA-123,5344,12,132,70,16,99,12,8324919,739655,2773
Alca-1,Alca,KRA-126,5445,13,136,74,15,100,12,8323949,738382,2794
Alca-1,Alca,KRA-127,5257,12,129,74,15,97,10,8324000,737743,2981
Alca-1,Alca,KRA-128,5445,14,130,71,15,95,13,8324000,737743,2981
Alca-1,Alca,KRA-129,5432,12,131,74,15,101,12,8324000,737743,2981
Alca-1,Alca,KRA-130,5284,12,131,74,14,101,11,8324000,737743,2981
Alca-1,Alca,KRA-131,5419,13,139,72,14,96,11,8324000,737743,2981
Alca-1,Alca,KRA-132,5333,14,136,74,14,100,10,8324000,737743,2981
Alca-1,Alca,KRA-133,5543,14,137,73,13,98,12,8324000,737743,2981
Alca-1,Alca,KRA-134,5595,14,140,74,15,101,13,8324000,737743,2981
Alca-1,Alca,KRA-135,5364,13,133,73,14,98,12,8324000,737743,2981
Alca-1,Alca,KRA-136,5586,16,139,76,14,107,11,8324000,737743,2981
Alca-1,Alca,KRA-137,5312,11,130,77,14,101,10,8324000,737743,2981
Alca-1,Alca,KRA-139,5479,10,136,74,14,104,10,8323558,737878,3113
Alca-1,Alca,KRA-140,5410,10,136,75,13,100,12,8321946,737625,3853
Alca-1,Alca,KRA-141,5430,11,138,73,14,98,12,8321946,737625,3853
Alca-1,Alca,KRA-142,5584,14,138,77,15,101,11,8321946,737625,3853
Alca-1,Alca,KRA-143,5445,15,137,75,17,99,12,8321946,737625,3853
Alca-1,Alca,KRA-144,5394,13,135,70,15,108,12,8321946,737625,3853
Alca-1,Alca,KRA-145,5430,13,136,75,14,101,11,8325096,740087,2836
Alca-1,Alca,KRA-146,5450,13,133,75,15,103,13,8325096,740087,2836
Alca-1,Alca,KRA-149,5682,12,132,77,15,102,12,8323444,740450,3368
Alca-1,Alca,KRA-150,5535,12,133,76,14,103,12,8323444,740450,3368
Alca-1,Alca,KRA-152,5527,12,133,75,14,104,12,8323751,738500,2867
Alca-1,Alca,KRA-153,5906,14,137,73,16,109,14,8323751,738500,2867
Alca-1,Alca,KRA-196,5716,16,136,77,16,97,13,8303340,754715,4462
Alca-1,Alca,KRA-226,5743,12,136,76,14,105,13,8298823,748641,4367
Alca-1,Alca,KRA-228,5739,13,137,80,15,103,13,8298823,748641,4367
Alca-1,Alca,KRA-230,5627,14,136,78,15,111,12,8300257,747957,4365
Alca-1,Alca,KRA-236,5863,14,139,77,15,106,12,8303276,746901,4510
Alca-1,Alca,KRA-237,5517,12,137,76,14,99,11,8303276,746901,4510
Alca-1,Alca,KRA-239,5825,14,136,78,16,102,13,8303836,749375,4454
Alca-1,Alca,KRA-241,5670,16,140,75,13,115,14,8303836,749375,4454
Alca-2,Alca,KRA-003,7013,17,142,151,16,153,11,8323276,747030,4768
Alca-2,Alca,KRA-004,7236,18,143,136,14,152,12,8324546,746865,4422
Alca-2,Alca,KRA-151,7661,16,145,134,15,155,12,8323444,740450,3368
Alca-2,Alca,KRA-151 replicate,7175,16,146,145,16,151,14,8323444,740450,3368
Alca-2,Alca,KRA-266,7795,14,140,170,14,196,9,8320820,748655,5095
Alca-2,Alca,KRA-267,7943,14,147,160,16,170,12,8322589,749536,5004
Alca-2,Alca,KRA-303,9082,12,144,167,18,195,11,no data,no data,no data
Alca-3,Alca,KRA-010,8141,13,128,204,17,152,11,8327253,743697,4254
Alca-3,Alca,KRA-011,7939,11,125,203,18,151,12,8327194,743602,4322
Alca-3,Alca,KRA-012,8019,12,131,204,16,151,12,8327516,743412,4302
Alca-3,Alca,KRA-013,8008,13,131,199,17,153,11,8326353,743397,4141
Alca-3,Alca,KRA-094,8247,12,129,208,15,151,11,8323426,740899,3318
Alca-3,Alca,KRA-124,8080,13,127,202,15,152,12,8324946,739177,2711
Alca-3,Alca,KRA-125,8376,13,127,214,17,154,12,8324946,739177,2711
Alca-3,Alca,KRA-147,8478,14,128,208,16,155,12,8325096,740087,2836
Alca-3,Alca,KRA-148,7809,12,125,202,15,150,13,8325096,740087,2836
Alca-3,Alca,KRA-155,7842,14,126,203,16,155,12,8327250,743695,4270
Alca-3,Alca,KRA-155 replicate,8030,13,125,207,17,152,11,8327250,743695,4270
Alca-3,Alca,KRA-156,8048,11,123,200,17,152,12,8327250,743695,4270
Alca-3,Alca,KRA-157,8061,13,127,205,17,149,10,8327250,743695,4270
Alca-3,Alca,KRA-158,8008,14,126,207,17,159,12,8327258,743675,4289
Alca-3,Alca,KRA-158 replicate,7752,12,126,201,17,153,10,8327258,743675,4289
Alca-3,Alca,KRA-160,8007,12,129,209,16,154,10,8327258,743675,4289
Alca-3,Alca,KRA-161,7891,13,124,194,17,150,10,8327281,743643,4300
Alca-3,Alca,KRA-161 replicate,8101,13,124,206,17,150,12,8327281,743643,4300
Alca-3,Alca,KRA-162,7878,14,130,206,16,152,12,8327203,743587,4330
Alca-3,Alca,KRA-162 replicate,8076,13,128,206,18,150,12,8327203,743587,4330
Alca-3,Alca,KRA-163,8044,13,131,205,15,153,12,8327203,743587,4330
Alca-3,Alca,KRA-164,8029,11,127,199,16,153,10,8327517,743487,4339
Alca-3,Alca,KRA-164 replicate,7973,12,128,204,17,150,10,8327517,743487,4339
Alca-3,Alca,KRA-165,8022,12,126,205,17,152,11,8327517,743487,4339
Alca-3,Alca,KRA-166,7830,12,126,200,18,151,11,8327690,743223,4330
Alca-3,Alca,KRA-167,7911,12,128,203,15,155,10,8327690,743223,4330
Alca-3,Alca,KRA-168,8255,13,130,208,17,155,12,8327690,743223,4330
Alca-3,Alca,KRA-169,7974,14,124,206,18,159,11,8327690,743223,4330
