File #,DateTime,Name,Application,Method,ElapsedTime,Mn,Rb,Sr,Y,Zr,Nb,Ba,Th
361.0,2026-05-07 20:35:00,"Cerro Kaskio, 731, surface","Capriles, J.M.",Obsidian 3mm,30.0,975.0,259.0,12.0,34.0,80.0,34.0,797.0,39.0
362.0,2026-05-07 20:38:00,"OL-158, chert?","Capriles, J.M.",Obsidian 3mm,30.0,665.0,10.0,9.0,11.0,0.0,11.0,949.0,13.0
363.0,2026-05-07 20:38:00,"OL-159, no obsidian","Capriles, J.M.",Obsidian 3mm,30.0,1053.0,7.0,182.0,24.0,165.0,23.0,1614.0,26.0
364.0,2026-05-07 20:40:00,"OC-1-19, superficie","Capriles, J.M.",Obsidian 3mm,30.0,845.0,155.0,137.0,15.0,94.0,30.0,1436.0,29.0
365.0,2026-05-07 20:42:00,OC-1-20,"Capriles, J.M.",Obsidian 3mm,30.0,1011.0,139.0,225.0,22.0,99.0,27.0,2202.0,25.0
366.0,2026-05-07 21:00:00,"AL-13, p747-1","Capriles, J.M.",Obsidian 3mm,30.0,882.0,227.0,11.0,37.0,80.0,30.0,961.0,29.0
367.0,2026-05-07 21:02:00,"AL-13, p747-2","Capriles, J.M.",Obsidian 3mm,30.0,1033.0,249.0,12.0,43.0,93.0,35.0,979.0,31.0
368.0,2026-05-07 21:05:00,"AL-13, p747-3","Capriles, J.M.",Obsidian 3mm,30.0,897.0,148.0,406.0,27.0,277.0,21.0,1933.0,27.0
369.0,2026-05-07 21:06:00,"AL-13, p747-4","Capriles, J.M.",Obsidian 3mm,30.0,956.0,228.0,14.0,38.0,85.0,32.0,1065.0,35.0
370.0,2026-05-07 21:07:00,"AL-13, p747-5","Capriles, J.M.",Obsidian 3mm,30.0,1050.0,240.0,14.0,35.0,82.0,33.0,1027.0,34.0
371.0,2026-05-07 21:08:00,"AL-13, p747-6","Capriles, J.M.",Obsidian 3mm,30.0,916.0,222.0,14.0,32.0,86.0,33.0,981.0,29.0
