Sample,Group,Mn,Fe,Zn,Ga,ThLa1,Rb,Sr,Y,Zr,Nb,Peso,Notes,Long,Lat,Notes
Charaña-051,CHR-BOL,310.8,6053.4,42.7,20,11.6,143.5,110.3,8.5,90.7,11.5,,,-69.1667,-17.583,
Charaña-101,CHR-BOL,502.9,5802.9,48,14.3,10.6,129.4,106.7,8.9,86.8,10.7,,,-69.1667,-17.583,
Charaña-102,CHR-BOL,544.6,5966,41.6,18.5,12.2,139.7,110.5,9.6,94.7,10.5,,,-69.1667,-17.583,
Charaña-103,CHR-BOL,547.9,5484.7,53.9,18.3,14.5,157.6,107.3,8.9,90.3,14.7,,,-69.1667,-17.583,
Charaña-161,CHR-BOL,484.3,6138.5,38.4,19.4,15.3,146.2,112.1,8.5,102.7,13.5,,,-69.1667,-17.583,
Charaña-162,CHR-BOL,429.2,6031.3,39.4,14,13.9,138.7,109.9,7.7,97.3,12.8,,,-69.1667,-17.583,
Charaña-163,CHR-BOL,519.7,5875.2,40.1,15.7,15.4,142.5,107.9,7.1,92.1,16.2,,,-69.1667,-17.583,
CHIVAY-3,CHIVAY,507.5,5102.2,33.9,14.6,,233.8,48.7,24.7,114.7,24.6,,"MURR XRF 5/7/2009, Brooks",-71.64,-15.64,
CHIVAY-4,CHIVAY,482.8,5109.6,31.5,12.8,,234.2,48.2,26.8,119.8,27.8,,"MURR XRF 5/7/2009, Brooks",-71.64,-15.64,
CHIVAY-5,CHIVAY,514.9,5166.5,33.7,13.8,,226.8,45.6,24.7,114.5,23.3,,"MURR XRF 5/7/2009, Brooks",-71.64,-15.64,
CHIVAY-6,CHIVAY,474.6,5117.7,32.5,14.6,,236.8,51.3,24.5,111.5,22.8,,"MURR XRF 5/7/2009, Brooks",-71.64,-15.64,
Chivay-NT1,CHIVAY,462.2,5329.5,24.8,14.3,,241.2,53.9,19.4,99.7,17.1,,"MURR XRF 5/7/2009, NKT",-71.64,-15.64,
Chivay-NT10,CHIVAY,522.6,5544.2,38.9,13.9,,248.8,54.1,27.7,127.6,27.1,,"MURR XRF 5/7/2009, NKT",-71.64,-15.64,
Chivay-NT11,CHIVAY,485.6,5549.5,32.5,15.8,,234.5,48,22.5,106.4,22.4,,"MURR XRF 5/7/2009, NKT",-71.64,-15.64,
Chivay-NT2,CHIVAY,474.3,5412.4,28.4,12.7,,239.4,49.3,17.7,97.8,16.5,,"MURR XRF 5/7/2009, NKT",-71.64,-15.64,
Chivay-NT3,CHIVAY,500,5422.1,34.1,15,,245,51.4,23.5,116.2,27.7,,"MURR XRF 5/7/2009, NKT",-71.64,-15.64,
Chivay-NT4,CHIVAY,479.7,5389.8,33.7,14.6,,235.1,48.7,24.6,113.6,23.3,,"MURR XRF 5/7/2009, NKT",-71.64,-15.64,
Chivay-NT5,CHIVAY,436.8,5166.2,36.7,13.2,,234.2,47.5,18.3,95,17.8,,"MURR XRF 5/7/2009, NKT",-71.64,-15.64,
Chivay-NT6,CHIVAY,463.2,5349.7,32.1,13.8,,227.5,47.9,20.3,95.8,15.1,,"MURR XRF 5/7/2009, NKT",-71.64,-15.64,
