Name,Group,ANID,Fe,Th,Rb,Sr,Y,Zr,Nb
Cerro Kaskio,CK-BOL,BOL038,6705.9,21.1,203.1,0.7,25.3,76.6,17.0
Cerro Kaskio,CK-BOL,BOL039,6385.0,17.5,206.8,1.0,26.2,83.9,17.0
Cerro Kaskio,CK-BOL,BOL040,6726.1,17.2,218.6,1.7,20.9,92.7,17.1
Cerro Kaskio,CK-BOL,BOL041,6555.4,20.2,210.1,1.6,23.9,78.6,16.8
Cerro Kaskio,CK-BOL,BOL042,6196.5,19.7,213.2,2.7,20.5,79.8,16.1
Cerro Kaskio,CK-BOL,BOL043,6893.9,16.5,212.0,3.3,25.6,84.2,17.5
Cerro Kaskio,CK-BOL,BOL044,6898.7,19.2,211.6,2.1,23.2,79.4,16.4
Cerro Kaskio,CK-BOL,BOL045,6730.7,19.7,213.3,2.9,21.9,79.6,17.4
Cerro Kaskio,CK-BOL,BOL046,6204.9,19.0,203.2,1.8,24.2,76.8,18.2
Cerro Kaskio,CK-BOL,BOL047,6447.0,21.3,198.0,1.0,23.6,75.4,16.0
Cerro Kaskio,CK-BOL,BOL048,6707.9,17.7,205.6,2.3,25.1,78.1,17.4
Cerro Kaskio,CK-BOL,BOL049,6629.6,18.6,210.5,0.4,24.5,79.5,19.5
Cerro Kaskio,CK-BOL,BOL050,6319.1,18.4,207.3,3.0,28.0,89.0,18.0
Cerro Kaskio,CK-BOL,BOL051,6274.4,18.0,215.6,3.7,22.9,81.7,18.3
Cerro Kaskio,CK-BOL,BOL052,6544.8,20.9,200.9,1.6,26.5,82.8,17.7
Cerro Kaskio,CK-BOL,BOL053,6546.1,21.8,211.2,2.2,26.9,83.0,18.0
Cerro Kaskio,CK-BOL,BOL054,6002.9,23.2,202.7,2.1,18.5,71.4,18.6
Cerro Kaskio,CK-BOL,BOL055,6370.3,21.5,212.8,3.4,25.4,80.9,18.8
Cerro Kaskio,CK-BOL,BOL056,6837.0,20.0,216.7,2.2,20.7,99.0,20.7
Cerro Kaskio,CK-BOL,BOL057,6429.9,19.0,217.1,3.2,29.5,79.8,18.2
Cerro Kaskio,CK-BOL,CKB101,6799.5,18.8,210.5,2.3,22.8,85.0,17.3
Cerro Kaskio,CK-BOL,CKB102,6547.3,18.9,213.4,0.2,26.1,81.8,16.3
Cerro Kaskio,CK-BOL,CKB103,6591.9,22.1,210.3,2.4,29.8,80.0,21.6
Cerro Kaskio,CK-BOL,CKB104,6534.1,17.4,223.0,1.3,26.3,84.3,20.0
Cerro Kaskio,CK-BOL,CKB105,7129.9,18.1,217.6,0.9,22.2,79.7,18.5
Cerro Kaskio,CK-BOL,CKB201,6321.4,15.8,197.5,1.0,23.4,79.6,17.1
Cerro Kaskio,CK-BOL,CKB202,6496.0,15.4,203.9,1.1,22.6,79.8,15.1
