Name,Application,Method,ElapsedTime,Mn,Rb,Sr,Y,Zr,Nb,Ba,Th
RGM,Standard,Obsidian 3mm,30,710,151,116,29,239,23,1638,25
16-19215,Hearst_Bolivia,Obsidian 3mm,30,982,218,163,41,233,39,1496,35
16-19216,Hearst_Bolivia,Obsidian 3mm,30,1083,267,182,45,253,39,1430,36
16-19217,Hearst_Bolivia,Obsidian 3mm,30,1107,304,192,47,248,44,968,47
16-19218,Hearst_Bolivia,Obsidian 3mm,30,1022,256,170,44,260,39,1052,38
16-19219,Hearst_Bolivia,Obsidian 3mm,30,1004,233,167,44,225,40,1387,38
16-19220,Hearst_Bolivia,Obsidian 3mm,30,636,191,218,17,173,17,1397,33
16-19221,Hearst_Bolivia,Obsidian 3mm,30,1085,249,171,45,234,43,1561,36
16-19222,Hearst_Bolivia,Obsidian 3mm,30,886,218,163,43,213,43,1272,34
16-19223,Hearst_Bolivia,Obsidian 3mm,30,877,234,171,41,222,38,1347,32
16-19224,Hearst_Bolivia,Obsidian 3mm,30,976,226,166,45,230,39,1134,31
16-19225,Hearst_Bolivia,Obsidian 3mm,30,1085,254,192,54,226,43,1026,40
16-19226,Hearst_Bolivia,Obsidian 3mm,30,859,285,193,33,166,33,1402,39
16-11804,Hearst_Bolivia,Obsidian 3mm,30,892,168,407,19,216,35,1920,25
RGM,Standard,Obsidian 3mm,30,759,162,128,29,243,22,1759,29
